fips,3rd Party Effect direction
19147,-0.16
19149,-0.37
19151,-0.35
19153,-0.25
19155,-0.17
19157,-0.13
19159,-0.3
19161,-0.33
19163,-0.17
19165,-0.27
19167,-0.78
19169,-0.3
19171,-0.11
19173,-0.31
19175,-0.2
19177,-0.38
19179,-0.13
19181,-0.31
19183,-0.33
19185,-0.38
19187,-0.13
19189,-0.27
19191,-0.07
19193,-0.18
19195,-0.06
19197,-0.2
21001,-0.19
21003,-0.16
21005,0.14
21007,0.32
21009,0.18
21011,0.3
21013,0.01
21015,-0.18
21017,0.19
21019,0.16
21021,0.06
21023,0.25
21025,0.54
21027,0.04
21029,0.06
21031,-0.3
21033,0.27
21035,0.2
21037,0.05
21039,0.35
21041,0.33
21043,0.1
21045,-0.3
21047,0.11
21049,0.09
21051,-0.24
21053,-0.33
21055,-0.08
21057,-0.37
21059,0.12
21061,-0.12
21063,0.54
21065,0.1
21067,0.12
21069,0.17
21071,0.54
21073,0.31
21075,0.22
21077,0.19
21079,-0.17
21081,-0.02
21083,0.3
21085,-0.15
21087,-0.15
21089,0.16
21091,0.14
21093,0.08
21095,0.43
21097,0.24
21099,0.25
21101,0.27
21103,0.2
21105,0.06
21107,0.28
21109,-0.31
21111,0.15
21113,-0.1
21115,-0.04
21117,-0.02
21119,0.59
21121,-0.16
21123,0.2
21125,-0.27
21127,0.1
21129,0.01
21131,-0.38
21133,0.45
21135,-0.32
21137,-0.01
21139,0.32
21141,0.19
21143,0.19
21145,0.1
21147,-0.23
21149,0.21
21151,0.1
21153,0.25
21155,0.29
21157,0.22
21159,-0.15
21161,0.16
21163,0.19
21165,0.25
21167,0.12
21169,0.1
21171,-0.27
21173,0.17
21175,0.53
21177,0.27
21179,0.18
21181,0.37
21183,0
21185,-0.19
21187,0.24
21189,-0.01
21191,0.06
21193,0.37
21195,0.47
21197,0.28
21199,-0.3
21201,0.48
21203,-0.3
21205,0.23
21207,-0.28
21209,0.05
21211,-0.02
21213,0.15
21215,-0.08
21217,-0.12
21219,0.32
21221,0.08
21223,0.35
21225,0.48
21227,0.09
21229,0.11
21231,-0.19
21233,0.48
21235,-0.3
21237,0.44
21239,0.11
23005,0.56
23007,0.67
23009,0.6
23013,1
23015,0.56
23017,0.67
23019,0.8
23029,0.67
23031,0.6
24001,-0.03
24003,0
24005,0.12
24009,-0.05
24011,-0.04
24013,-0.13
24015,-0.05
24017,0.08
24019,-0.01
24021,-0.04
24023,-0.2
24025,-0.03
24027,0.05
24029,0.04
24031,0.12
24033,0.19
24035,-0.08
24037,-0.07
24039,-0.04
24041,-0.09
24043,-0.07
24045,-0.02
24047,-0.01
24510,0.27
25001,0.07
25009,0.06
25011,0.03
25013,-0.03
25019,0.2
25021,-0.01
25023,0.08
25027,0.23
26001,-0.16
26003,-0.03
26005,-0.3
26007,-0.13
26009,-0.17
26011,-0.09
26013,-0.1
26015,-0.23
26017,-0.03
26019,-0.01
26021,-0.22
26023,-0.25
26025,-0.13
26027,-0.23
26029,-0.15
26031,-0.14
26033,-0.11
26035,-0.12
26037,-0.19
26039,-0.12
26041,-0.13
