fips,WinMargin
37079,-27.95%
36039,22.43%
39057,45.64%
42059,-4.23%
47059,68.97%
51079,42.54%
04011,-20.44%
51081,-15.67%
21089,-36.55%
45045,50.26%
45047,39.47%
40055,-26.53%
48183,60.37%
46053,12.61%
28043,23.45%
48185,69.05%
19075,40.77%
17063,18.56%
29079,59.48%
47061,42.23%
35019,-76.51%
48187,55.08%
39059,43.66%
37081,-11.91%
12045,30.35%
08051,-100.00%
19077,30.68%
13135,26.73%
46055,73.33%
13137,73.99%
01065,-43.73%
48189,79.35%
37083,-56.23%
51083,29.22%
13139,69.81%
31079,77.98%
48191,68.78%
47063,72.39%
12047,-11.19%
19079,22.91%
17065,27.93%
18057,46.76%
31081,92.53%
36041,49.12%
39061,17.87%
47065,34.87%
48193,82.48%
46057,44.86%
25013,10.97%
54027,18.04%
45049,-13.25%
13141,-51.63%
19081,36.83%
17067,52.97%
18059,59.54%
21091,-36.67%
23009,-100.00%
28045,66.60%
39063,59.12%
47067,71.06%
54029,-14.06%
46059,46.44%
51085,50.08%
48195,94.85%
46061,39.09%
13143,77.18%
12049,39.40%
47069,8.98%
48197,60.05%
19083,28.96%
17069,40.79%
21093,-28.15%
39065,56.90%
47071,64.22%
48199,84.34%
35021,7.98%
46063,75.40%
54031,-8.20%
24025,17.33%
21095,-55.78%
31083,92.68%
40057,-24.84%
37085,16.79%
41025,49.59%
40059,49.60%
13145,57.82%
48201,18.12%
19085,34.26%
18061,34.68%
21097,-47.29%
29081,66.09%
28047,44.99%
39067,28.77%
48203,59.19%
54033,-17.50%
13147,60.75%
21099,-42.40%
09003,-90.79%
48205,91.38%
40061,-29.23%
48207,51.95%
15001,-57.10%
47073,71.20%
31085,88.00%
48209,16.62%
37087,-0.51%
47075,4.73%
13149,66.33%
48211,96.17%
05057,42.30%
17071,29.94%
21101,-63.42%
37089,34.12%
47077,71.88%
48213,73.87%
18063,51.03%
12051,17.27%
51087,4.86%
01067,47.17%
13151,16.23%
19087,26.78%
17073,32.66%
18065,41.62%
21103,-39.06%
29083,41.57%
39069,54.68%
47079,58.25%
51089,39.88%
36043,36.51%
12053,29.42%
37091,-69.37%
21105,-20.76%
47081,52.38%
29085,59.51%
35023,-43.00%
48215,-51.57%
39071,59.01%
51091,38.19%
12055,43.00%
30041,-5.04%
48217,78.53%
12057,7.66%
33011,10.21%
26059,49.74%
28049,-36.59%
08053,-100.00%
31087,95.00%
39073,35.66%
48219,85.96%
37093,-34.93%
12059,45.68%
28051,-66.64%
39075,66.48%
29087,62.61%
31089,93.92%
15003,-33.97%
41027,-35.93%
48221,80.84%
31091,91.25%
21107,-46.18%
48223,75.61%
45051,52.51%
05059,29.23%
56017,-100.00%
26061,14.75%
01069,67.29%
13153,39.35%
47083,37.15%
48225,76.56%
05061,40.82%
19089,-4.18%
18067,35.51%
24027,-30.92%
29089,34.97%
31093,82.09%
48227,74.23%
29091,60.19%
34017,-80.32%
48229,-14.02%
08055,-100.00%
40063,-30.50%
46065,43.17%
06023,-53.07%
